,Tariff Sheet URL,Utility Domain URL,robots.txt URL,Crawling_Allowed,Num_Ratepayers,Utility Domain (WWW Only)
4868,http://www.bangorhydro.com/media/22662/Page9.pdf,http://www.bangorhydro.com,http://www.bangorhydro.com/robots.txt,False,0,www.bangorhydro.com
4871,http://www.laneelectric.com/uploads/rate-schedules/rate-schedule-gs-e3-2.pdf,http://www.laneelectric.com,http://www.laneelectric.com/robots.txt,False,0,www.laneelectric.com
4878,http://www.pacificpud.org/rate_street.html,http://www.pacificpud.org,http://www.pacificpud.org/robots.txt,False,0,www.pacificpud.org
4879,http://files.www.apexnc.org/docs/util/Large_General_Service_-_Time_Of_Use_-_7.1.2014.pdf,http://files.www.apexnc.org,http://files.www.apexnc.org/robots.txt,False,0,files.www.apexnc.org
4884,http://www.wrwwlc.com/IndustrialTimeDay.aspx,http://www.wrwwlc.com,http://www.wrwwlc.com/robots.txt,False,0,www.wrwwlc.com
4885,http://www.ripleypower.com/commercial/rates.php,http://www.ripleypower.com,http://www.ripleypower.com/robots.txt,False,0,www.ripleypower.com
4887,http://www.sceg.com/NR/rdonlyres/083402E0-6BA5-4CA7-ABE9-3387662ED2F4/0/rate16.pdf,http://www.sceg.com,http://www.sceg.com/robots.txt,False,0,www.sceg.com
4892,http://www.rockwoodelectric.com/rates.asp,http://www.rockwoodelectric.com,http://www.rockwoodelectric.com/robots.txt,False,0,www.rockwoodelectric.com
4893,ftp://www.city.ketchikan.ak.us/pub/municode/11-08.pdf,,,False,0,
4898,"http://www.concordma.gov/pages/concordma_lightplant/new%20rate%20files/A01%20Rate%20R-1%20SGM,%201-1-13.pdf",http://www.concordma.gov,http://www.concordma.gov/robots.txt,False,0,www.concordma.gov
4899,http://www.rpu.org/documents/2012_rate_schedule.pdf,http://www.rpu.org,http://www.rpu.org/robots.txt,False,0,www.rpu.org
4901,http://www.theremc.com/index.php?pg=48,http://www.theremc.com,http://www.theremc.com/robots.txt,False,0,www.theremc.com
4902,http://www.miamiokla.net/UtilityBilling/Info/publicutilityrates.pdf,http://www.miamiokla.net,http://www.miamiokla.net/robots.txt,False,0,www.miamiokla.net
4903,http://216.239.0.200/~bvillemn/?page_id=547,http://216.239.0.200,http://216.239.0.200/robots.txt,False,0,216.239.0.200
4904,http://www.sheld.org/doc/mdte_83.pdf,http://www.sheld.org,http://www.sheld.org/robots.txt,False,0,www.sheld.org
4906,http://beatrice.ne.gov/departments/bpw/electric/index.shtml#rates,http://beatrice.ne.gov,http://beatrice.ne.gov/robots.txt,False,0,beatrice.ne.gov
4908,http://www.dleg.state.mi.us/mpsc/electric/ratebooks/ontonagon/ontonagonmemberregcur.pdfhttp://www.dleg.state.mi.us,http://www.dleg.state.mi.us,http://www.dleg.state.mi.us/robots.txt,False,0,www.dleg.state.mi.us
4914,http://www.nhec.com/filerepository/rate_change_sheets_for_2013_may01_final.pdf,http://www.nhec.com,http://www.nhec.com/robots.txt,False,0,www.nhec.com
4915,http://www.burbankwaterandpower.com/residential-electric-rates-and-charges/residential-electric-rates-and-charges,http://www.burbankwaterandpower.com,http://www.burbankwaterandpower.com/robots.txt,False,0,www.burbankwaterandpower.com
4919,http://www.arnoldne.org/files/Ordinance_No_399_Electric_Rates_2010.pdf,http://www.arnoldne.org,http://www.arnoldne.org/robots.txt,False,0,www.arnoldne.org
4921,http://www.bluebonnetelectric.coop/myBusiness/commercialRates.aspx,http://www.bluebonnetelectric.coop,http://www.bluebonnetelectric.coop/robots.txt,False,0,www.bluebonnetelectric.coop
4927,http://pesenergize.com/customer-service/residential-electric-rates,http://pesenergize.com,http://pesenergize.com/robots.txt,False,0,pesenergize.com
4930,http://www.cityofpaloalto.org/depts/utl/business/business_rates.asp,http://www.cityofpaloalto.org,http://www.cityofpaloalto.org/robots.txt,False,0,www.cityofpaloalto.org
4932,http://www.cityofbport.com/index.php?page_id=khhcxxmp&description=Electric_Rates,http://www.cityofbport.com,http://www.cityofbport.com/robots.txt,False,0,www.cityofbport.com
